epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
147,8836.76,0.79789,0.92236,1.16029,0.92333,0.89673,0.96103,0.85464,0.60343,0.49321,0.99783,0.00819325,0.00819325,0.00819325
148,8896.16,0.78038,0.89348,1.1495,0.90266,0.88799,0.94547,0.85124,0.58773,0.51778,0.9915,0.00818088,0.00818088,0.00818088
149,8955.5,0.77684,0.885,1.1444,0.93145,0.89058,0.94013,0.83557,0.60449,0.51696,1.0046,0.0081685,0.0081685,0.0081685
150,9014.42,0.78033,0.90339,1.1551,0.92978,0.89053,0.95117,0.85343,0.58809,0.49052,0.99496,0.00815613,0.00815613,0.00815613
151,9073.39,0.79543,0.92432,1.16129,0.92481,0.89837,0.95041,0.85078,0.59452,0.46509,0.99415,0.00814375,0.00814375,0.00814375
152,9132.53,0.7912,0.93199,1.16024,0.93952,0.91069,0.95681,0.84655,0.60489,0.46022,0.99956,0.00813138,0.00813138,0.00813138
153,9191.86,0.78926,0.90654,1.15731,0.93498,0.88254,0.95713,0.85545,0.57702,0.47945,0.98141,0.008119,0.008119,0.008119
154,9250.94,0.78132,0.89428,1.14788,0.89993,0.89391,0.95358,0.8434,0.61151,0.4914,0.9972,0.00810662,0.00810662,0.00810662
155,9309.77,0.76931,0.89065,1.14081,0.94177,0.89326,0.9612,0.85843,0.58339,0.46771,0.98699,0.00809425,0.00809425,0.00809425
156,9368.83,0.78273,0.91137,1.148,0.9325,0.86608,0.95299,0.85087,0.60017,0.49674,0.9956,0.00808188,0.00808188,0.00808188
157,9427.81,0.7868,0.89988,1.15339,0.93855,0.85852,0.94825,0.85113,0.60053,0.51502,0.98784,0.0080695,0.0080695,0.0080695
158,9487.09,0.77364,0.89379,1.14876,0.8913,0.91413,0.94915,0.84436,0.60592,0.51005,0.99801,0.00805713,0.00805713,0.00805713
159,9546.42,0.77893,0.88222,1.14845,0.94611,0.88505,0.95395,0.84835,0.60438,0.49756,0.99767,0.00804475,0.00804475,0.00804475
160,9605.31,0.7947,0.93019,1.1615,0.9203,0.90586,0.94847,0.8397,0.60925,0.49721,1.00035,0.00803238,0.00803238,0.00803238
161,9664.42,0.78344,0.92056,1.14892,0.93419,0.88227,0.95241,0.84849,0.59778,0.49326,0.98814,0.00802,0.00802,0.00802
162,9723.88,0.76455,0.91878,1.13562,0.9406,0.87781,0.9556,0.85278,0.6079,0.50681,0.99996,0.00800762,0.00800762,0.00800762
163,9783.26,0.75936,0.85964,1.13483,0.94428,0.90249,0.96012,0.85676,0.59464,0.45388,0.99245,0.00799525,0.00799525,0.00799525
164,9842.78,0.7593,0.86542,1.1393,0.93845,0.88777,0.94964,0.85008,0.59263,0.47954,0.99823,0.00798288,0.00798288,0.00798288
165,9901.89,0.77563,0.88087,1.14898,0.94747,0.90315,0.95579,0.85489,0.58876,0.47081,0.99323,0.0079705,0.0079705,0.0079705
166,9961.27,0.76394,0.86196,1.13969,0.92956,0.87358,0.9504,0.85817,0.57816,0.47562,0.99137,0.00795812,0.00795812,0.00795812
167,10020.5,0.76177,0.88194,1.13455,0.90507,0.88976,0.94706,0.83985,0.5982,0.4848,1.0052,0.00794575,0.00794575,0.00794575
168,10079.8,0.76469,0.86627,1.14004,0.9316,0.88759,0.94503,0.84502,0.59293,0.47306,1.00587,0.00793338,0.00793338,0.00793338
169,10139,0.7634,0.8587,1.14061,0.93768,0.89033,0.95693,0.85213,0.59419,0.4803,1.00357,0.007921,0.007921,0.007921
170,10198.2,0.77074,0.88071,1.14414,0.92728,0.88444,0.95231,0.84898,0.59808,0.45389,1.00051,0.00790863,0.00790863,0.00790863
171,10257.4,0.76331,0.87053,1.13543,0.90357,0.89955,0.95568,0.85025,0.5853,0.4578,0.98972,0.00789625,0.00789625,0.00789625
172,10316.6,0.75973,0.85582,1.13611,0.92524,0.89068,0.95679,0.85797,0.58102,0.44821,0.98485,0.00788388,0.00788388,0.00788388
173,10375.7,0.77226,0.89393,1.14751,0.93074,0.89551,0.9577,0.85454,0.59406,0.45611,0.98953,0.0078715,0.0078715,0.0078715
174,10434.9,0.76339,0.85131,1.13661,0.93133,0.91511,0.96522,0.86186,0.56785,0.42781,0.98435,0.00785912,0.00785912,0.00785912
175,10494.1,0.75322,0.85722,1.13815,0.94957,0.9012,0.95858,0.85669,0.57467,0.45754,0.9917,0.00784675,0.00784675,0.00784675
176,10553.2,0.75299,0.86613,1.13435,0.94985,0.8929,0.95751,0.85442,0.58234,0.43228,0.99642,0.00783438,0.00783438,0.00783438
177,10612.4,0.7662,0.88305,1.14405,0.94282,0.88575,0.95451,0.84681,0.61213,0.43965,1.00434,0.007822,0.007822,0.007822
178,10671.8,0.74553,0.86707,1.13048,0.93048,0.88047,0.95537,0.86568,0.58439,0.46467,0.98537,0.00780963,0.00780963,0.00780963
179,10730.5,0.75437,0.86171,1.13583,0.92959,0.87994,0.95151,0.84853,0.58572,0.46098,0.99141,0.00779725,0.00779725,0.00779725
180,10789.5,0.7525,0.83741,1.12807,0.9322,0.87723,0.95002,0.84884,0.59249,0.49083,0.99474,0.00778488,0.00778488,0.00778488
181,10848.6,0.76907,0.87733,1.14552,0.92286,0.87294,0.94661,0.83867,0.6117,0.51114,1.00345,0.0077725,0.0077725,0.0077725
182,10907.6,0.75408,0.84679,1.13179,0.91738,0.88251,0.95287,0.84612,0.59158,0.47439,0.9944,0.00776013,0.00776013,0.00776013
183,10966.5,0.76123,0.85268,1.13531,0.91144,0.89604,0.96487,0.85129,0.59328,0.45493,0.99911,0.00774775,0.00774775,0.00774775
