epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
75,3712.37,0.86355,1.18688,1.20776,0.87285,0.88021,0.94843,0.83559,0.62522,0.61613,1.0258,0.00908425,0.00908425,0.00908425
76,3761.81,0.85416,1.18036,1.20396,0.87046,0.85377,0.9457,0.82517,0.63739,0.69358,1.05296,0.00907188,0.00907188,0.00907188
77,3811.3,0.85506,1.17997,1.19997,0.88599,0.86805,0.93964,0.81698,0.62795,0.60994,1.04508,0.0090595,0.0090595,0.0090595
78,3860.7,0.86732,1.17626,1.21034,0.89927,0.88575,0.93731,0.82331,0.61816,0.62848,1.04014,0.00904713,0.00904713,0.00904713
79,3910.04,0.8613,1.15974,1.20542,0.92929,0.88515,0.95831,0.84011,0.61401,0.57938,1.02725,0.00903475,0.00903475,0.00903475
80,3959.44,0.85869,1.18971,1.2085,0.91638,0.88083,0.95053,0.82734,0.65463,0.59584,1.06264,0.00902238,0.00902238,0.00902238
81,4008.81,0.85435,1.13949,1.19616,0.88329,0.91439,0.95299,0.84001,0.58297,0.57962,1.01542,0.00901,0.00901,0.00901
82,4058.16,0.84778,1.15516,1.20076,0.90847,0.86742,0.95208,0.84462,0.60825,0.62206,1.02861,0.00899762,0.00899762,0.00899762
83,4107.6,0.85426,1.14354,1.19862,0.91205,0.90165,0.96371,0.85422,0.60961,0.53613,1.01775,0.00898525,0.00898525,0.00898525
84,4157.04,0.84997,1.1456,1.2009,0.9124,0.90611,0.95146,0.84556,0.59389,0.56371,1.01511,0.00897287,0.00897287,0.00897287
85,4206.51,0.84716,1.12957,1.1964,0.90449,0.89042,0.9604,0.84226,0.6126,0.58036,1.02867,0.0089605,0.0089605,0.0089605
86,4256.02,0.83578,1.08031,1.1883,0.91841,0.89331,0.95474,0.84686,0.58724,0.55191,1.00114,0.00894812,0.00894812,0.00894812
87,4305.63,0.8286,1.09539,1.18929,0.9141,0.91025,0.95874,0.83778,0.57043,0.52034,0.99619,0.00893575,0.00893575,0.00893575
88,4355.12,0.83936,1.16821,1.20268,0.88625,0.8977,0.95617,0.85168,0.55573,0.54926,0.99618,0.00892338,0.00892338,0.00892338
89,4404.68,0.83034,1.09526,1.19179,0.83749,0.92329,0.95445,0.84389,0.57878,0.56996,1.00875,0.008911,0.008911,0.008911
90,4454.08,0.84925,1.14247,1.20304,0.90486,0.88213,0.9528,0.85444,0.55045,0.55438,0.99441,0.00889863,0.00889863,0.00889863
91,4503.58,0.828,1.13814,1.18791,0.82587,0.93171,0.95907,0.8485,0.58739,0.56817,1.02068,0.00888625,0.00888625,0.00888625
92,4552.95,0.82207,1.08973,1.18173,0.8993,0.92108,0.95423,0.85707,0.5657,0.50906,0.99612,0.00887387,0.00887387,0.00887387
93,4602.45,0.81735,1.08505,1.1793,0.92169,0.87499,0.93986,0.83974,0.5712,0.5555,1.00158,0.0088615,0.0088615,0.0088615
94,4651.88,0.8181,1.09859,1.18284,0.86645,0.90338,0.9437,0.83676,0.57166,0.56412,1.01229,0.00884912,0.00884912,0.00884912
95,4701.42,0.80428,1.07178,1.17465,0.91509,0.86414,0.95385,0.85753,0.54548,0.52562,0.98653,0.00883675,0.00883675,0.00883675
96,4750.85,0.81947,1.05944,1.18232,0.87862,0.89393,0.95304,0.8545,0.56877,0.52574,1.00109,0.00882438,0.00882438,0.00882438
97,4800.36,0.81583,1.09876,1.17906,0.9201,0.8826,0.95416,0.85811,0.54645,0.52086,0.99443,0.008812,0.008812,0.008812
98,4849.94,0.80285,1.0699,1.17754,0.9172,0.87434,0.94865,0.83894,0.59523,0.52371,1.02337,0.00879963,0.00879963,0.00879963
99,4899.32,0.81259,1.0653,1.17752,0.9042,0.90662,0.96126,0.85576,0.57309,0.51998,1.00843,0.00878725,0.00878725,0.00878725
100,4948.77,0.80959,1.08295,1.17763,0.90427,0.92775,0.96309,0.86408,0.56669,0.47966,1.00727,0.00877487,0.00877487,0.00877487
101,4998.37,0.80291,1.04754,1.17548,0.89813,0.90318,0.96196,0.86543,0.54017,0.51045,0.98414,0.0087625,0.0087625,0.0087625
102,5047.78,0.80716,1.03129,1.16623,0.91556,0.90794,0.96339,0.86147,0.56469,0.49678,0.99213,0.00875013,0.00875013,0.00875013
103,5097.18,0.79177,1.04228,1.16492,0.90477,0.92445,0.9642,0.87022,0.53437,0.47199,0.98286,0.00873775,0.00873775,0.00873775
104,5146.65,0.8145,1.04509,1.177,0.9049,0.91812,0.9674,0.86564,0.5631,0.4939,1.01106,0.00872538,0.00872538,0.00872538
105,5196,0.80847,1.02529,1.17559,0.89368,0.89703,0.94055,0.84318,0.55979,0.53783,1.00301,0.008713,0.008713,0.008713
