epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
89,4572.33,0.86525,1.25859,1.2034,0.85782,0.84969,0.92431,0.83666,0.5349,0.67444,1.0142,0.007822,0.007822,0.007822
90,4622.19,0.85656,1.28962,1.20239,0.83758,0.86812,0.91927,0.82246,0.55725,0.69986,1.02199,0.00779725,0.00779725,0.00779725
91,4672.76,0.85497,1.30458,1.20368,0.86632,0.82528,0.93156,0.83661,0.54001,0.70341,1.00339,0.0077725,0.0077725,0.0077725
92,4722.55,0.852,1.24834,1.20726,0.87956,0.9019,0.94842,0.84768,0.55725,0.63847,1.01703,0.00774775,0.00774775,0.00774775
93,4774.8,0.83664,1.25145,1.19088,0.8712,0.86383,0.93134,0.84754,0.52815,0.6373,1.00256,0.007723,0.007723,0.007723
94,4824.34,0.84449,1.26013,1.20238,0.88185,0.88207,0.94593,0.8535,0.53981,0.61827,0.99336,0.00769825,0.00769825,0.00769825
95,4873.7,0.81815,1.2284,1.18637,0.81458,0.92242,0.94309,0.84486,0.54396,0.61573,0.99808,0.0076735,0.0076735,0.0076735
96,4923.24,0.83582,1.24338,1.18729,0.86915,0.88114,0.93928,0.84428,0.548,0.62943,1.00611,0.00764875,0.00764875,0.00764875
97,4972.9,0.84172,1.27771,1.19945,0.88259,0.87387,0.94407,0.8465,0.53984,0.62644,1.01076,0.007624,0.007624,0.007624
98,5022.53,0.83607,1.24649,1.1938,0.91301,0.87648,0.95622,0.85735,0.54305,0.63644,1.00627,0.00759925,0.00759925,0.00759925
99,5072.28,0.83854,1.21945,1.20272,0.86876,0.86664,0.93598,0.83846,0.54046,0.65221,1.00238,0.0075745,0.0075745,0.0075745
100,5122.04,0.84187,1.22435,1.19695,0.86853,0.89502,0.94291,0.84262,0.54139,0.60464,1.01287,0.00754975,0.00754975,0.00754975
101,5171.61,0.85299,1.24012,1.19858,0.88524,0.86931,0.94063,0.84479,0.53098,0.61288,0.99443,0.007525,0.007525,0.007525
102,5221.8,0.82083,1.20988,1.17975,0.88135,0.86921,0.93854,0.84993,0.53322,0.59571,1.00005,0.00750025,0.00750025,0.00750025
103,5276.35,0.83001,1.1774,1.17764,0.89544,0.88398,0.94214,0.84583,0.52619,0.63689,0.99981,0.0074755,0.0074755,0.0074755
104,5332.17,0.83332,1.18243,1.18808,0.89956,0.88607,0.94492,0.84365,0.5468,0.60437,1.01232,0.00745075,0.00745075,0.00745075
